Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
alimentare/non alimentare,upim,VIA,FARINI CARLO,79,1114,9,3643.0,1642.0,5285.0
alimentare/non alimentare,upim,VIA,MANCINI LODOVICO,2,3082,4,1854.0,981.0,2835.0
alimentare/non alimentare,upim,VIA,POLESINE,39,4159,4,2637.0,1140.0,3777.0
alimentare/non alimentare,upim,VIA,SPADARI,2,518,1,1652.0,1040.0,2692.0
alimentare/non alimentare,upim sma,CSO,SAN GOTTARDO,29,5203,5,3470.0,393.0,3863.0
alimentare/non alimentare,upim sma,VIA,MASOLINO DA PANICALE,7,7264,8,1819.0,785.0,2604.0
non alimentare,Mancante,BST,DI PORTA VOLTA,7,1066,1,380.0,215.0,595.0
non alimentare,Mancante,CSO,BUENOS AIRES,18,2129,3,300.0,0.0,300.0
non alimentare,Mancante,CSO,BUENOS AIRES,39,2129,3,425.0,65.0,490.0
non alimentare,Mancante,CSO,BUENOS AIRES,63,2129,3,812.0,261.0,1073.0
non alimentare,Mancante,CSO,DI PORTA TICINESE,12,541,1,926.0,264.0,1190.0
non alimentare,Mancante,CSO,EUROPA,22,300,1,1496.0,764.0,2260.0
non alimentare,Mancante,CSO,GARIBALDI GIUSEPPE,127,1010,1,273.0,0.0,273.0
non alimentare,Mancante,VIA,MAGGI CARLO MARIA,10,7115,1,725.0,130.0,855.0
non alimentare,Mancante,CSO,INDIPENDENZA,1,3118,3,450.0,1550.0,2000.0
non alimentare,Mancante,CSO,INDIPENDENZA,24,3118,3,850.0,630.0,1480.0
non alimentare,Mancante,CSO,ITALIA,40,526,1,292.0,100.0,392.0
non alimentare,Mancante,CSO,LODI,60,4068,4,255.0,0.0,255.0
non alimentare,Mancante,CSO,LODI,9,4068,4,340.0,0.0,340.0
non alimentare,Mancante,CSO,MAGENTA,10,604,1,530.0,50.0,580.0
non alimentare,Mancante,CSO,MATTEOTTI GIACOMO,14,218,1,267.0,0.0,267.0
non alimentare,Mancante,CSO,MATTEOTTI GIACOMO,8,218,1,300.0,80.0,380.0
non alimentare,Mancante,CSO,MONFORTE,20,348,1,480.0,95.0,575.0
non alimentare,Mancante,CSO,SAN GOTTARDO,35,5203,5,384.0,66.0,450.0
non alimentare,Mancante,CSO,SAN GOTTARDO,42,5203,5,500.0,250.0,750.0
non alimentare,Mancante,CSO,SEMPIONE,21,7137,8,256.0,18.0,274.0
non alimentare,Mancante,CSO,VENEZIA,14,238,1,1435.0,190.0,1625.0
non alimentare,Mancante,CSO,VENEZIA,2,238,1,475.0,0.0,475.0
non alimentare,Mancante,CSO,VENEZIA,5,238,1,410.0,187.0,597.0
non alimentare,Mancante,CSO,VERCELLI,16,6193,7,582.0,0.0,582.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,13,214,1,710.0,259.0,969.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,9,214,1,1500.0,0.0,1500.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,24,214,1,913.0,27.0,940.0
non alimentare,Mancante,FOR,BUONAPARTE,24,711,1,519.0,223.0,742.0
non alimentare,Mancante,GLL,DEL CORSO,4,305,1,1217.0,380.0,1597.0
non alimentare,Mancante,GLL,PATTARI,2,296,1,1017.0,683.0,1700.0
non alimentare,Mancante,GLL,STRASBURGO,3,297,1,357.0,0.0,357.0
non alimentare,Mancante,LGO,BOCCIONI UMBERTO,6,7467,8,400.0,40.0,440.0
non alimentare,Mancante,LGO,DOMODOSSOLA,1,6140,8,563.0,467.0,1030.0
non alimentare,Mancante,LGO,ISARCO,2,4129,5,492.0,8.0,500.0
non alimentare,Mancante,LGO,RICHINI FRANCESCO,1,331,1,293.0,37.0,330.0
non alimentare,Mancante,PAS,DUOMO,2,102,1,600.0,150.0,750.0
non alimentare,Mancante,PLE,AQUILEIA,6,6205,7,320.0,0.0,320.0
non alimentare,Mancante,PLE,CHIESA DAMIANO,2,7164,8,2277.0,1000.0,3277.0
non alimentare,Mancante,PLE,CIMITERO MAGGIORE,12,7442,8,270.0,270.0,540.0
non alimentare,Mancante,PTA,BOSSI MAURILIO,4,116,1,400.0,800.0,1200.0
non alimentare,Mancante,PTA,GIORDANO UMBERTO,4,345,1,390.0,0.0,390.0
non alimentare,Mancante,PZA,DELLA TRIVULZIANA,5,1765,9,1100.0,640.0,1740.0
non alimentare,Mancante,PZA,DELLA TRIVULZIANA,6,1765,9,1100.0,327.0,1427.0
non alimentare,Mancante,PZA,OTTO NOVEMBRE,6,2187,3,267.0,3.0,270.0
non alimentare,Mancante,PZA,RISORGIMENTO,10,3117,4,302.0,19.0,321.0
non alimentare,Mancante,PZA,SAN BABILA,1,216,1,1329.0,481.0,1810.0
non alimentare,Mancante,PZA,SAN MARCO,1,1040,1,340.0,57.0,397.0
non alimentare,Mancante,PZA,SANTA MARIA BELTRADE,1,514,1,417.0,365.0,782.0
non alimentare,Mancante,PZA,VENTICINQUE APRILE,12,1064,9,781.0,0.0,781.0
non alimentare,Mancante,PZA,VENTIQUATTRO MAGGIO,8,5200,5,400.0,80.0,480.0
non alimentare,Mancante,PZA,VESUVIO,19,6110,7,1200.0,1600.0,2800.0
non alimentare,Mancante,PZA,VETRA,21,515,1,340.0,0.0,340.0
non alimentare,Mancante,RIP,DI PTA TICINESE,47,5150,6,300.0,0.0,300.0
non alimentare,Mancante,VIA,ACHILLINI CLAUDIO,2,1605,9,1500.0,0.0,1500.0
non alimentare,Mancante,VIA,ALDINI ANTONIO,28,7461,8,276.0,138.0,414.0
non alimentare,Mancante,VIA,ALEARDI ALEARDO,15,7209,8,600.0,0.0,600.0
non alimentare,Mancante,VIA,ALUNNO NICOLO',23,6640,7,400.0,0.0,400.0
non alimentare,Mancante,VIA,AMADEO GIAN ANTONIO,40,3228,3,360.0,224.0,584.0
non alimentare,Mancante,VIA,ANTONINI GIACOMO,26,4250,5,1499.0,0.0,1499.0
non alimentare,Mancante,VIA,ARNALDO DA BRESCIA,4,1151,9,607.0,0.0,607.0
non alimentare,Mancante,VIA,ARONA,4,7169,8,490.0,150.0,640.0
non alimentare,Mancante,VIA,BALESTRIERI DOMENICO,6,7116,1,310.0,0.0,310.0
non alimentare,Mancante,VIA,BARONA,21,5356,6,500.0,0.0,500.0
non alimentare,Mancante,VIA,BELGIRATE,24,1406,2,870.0,220.0,1090.0
non alimentare,Mancante,VIA,BENADIR,5,2380,2,1500.0,700.0,2200.0
non alimentare,Mancante,VIA,BIGLI,19,224,1,270.0,110.0,380.0
non alimentare,Mancante,VIA,BODONI GIAMBATTISTA,2,7261,8,356.0,0.0,356.0
non alimentare,Mancante,VIA,BORDIGHERA,12,5265,5,480.0,0.0,480.0
non alimentare,Mancante,VIA,BORGOGNA,2,301,1,270.0,0.0,270.0
non alimentare,Mancante,VIA,CACCIATORI BENEDETTO,12,6305,7,280.0,0.0,280.0
non alimentare,Mancante,CSO,BUENOS AIRES,2,2129,3,2500.0,0.0,2500.0
non alimentare,Mancante,VIA,CALZECCHI TEMISTOCLE,17,3241,3,300.0,291.0,591.0
non alimentare,Mancante,VIA,CARLI GIAN RINALDO,9,1563,9,456.0,90.0,546.0
non alimentare,Mancante,VIA,CARNEVALI ANTONIO,28,1268,9,300.0,50.0,350.0
non alimentare,Mancante,VIA,CASARSA,9,1577,9,476.0,14.0,490.0
non alimentare,Mancante,VIA,CASORETTO,33,2420,3,290.0,0.0,290.0
non alimentare,Mancante,VIA,CASSINIS GIOVANNI BATTISTA,23,4309,4,3163.0,0.0,3163.0
non alimentare,Mancante,VIA,CASSINIS GIOVANNI BATTISTA,7,4309,4,305.0,0.0,305.0
non alimentare,Mancante,VIA,CATULLO,8,7428,8,286.0,0.0,286.0
non alimentare,Mancante,VIA,CHIESE,60,1627,9,1299.0,796.0,2095.0
non alimentare,Mancante,VIA,COLONNA MARCO ANTONIO,35,7158,8,350.0,0.0,350.0
non alimentare,Mancante,VIA,CONFALONIERI FEDERICO,34,1125,9,485.0,82.0,567.0
non alimentare,Mancante,VIA,CUSANI,10,719,1,261.0,0.0,261.0
non alimentare,Mancante,VIA,DE AMICIS EDMONDO,29,574,1,2394.0,0.0,2394.0
non alimentare,Mancante,VIA,DEGLI ZUCCARO,9,5390,6,800.0,0.0,800.0
non alimentare,Mancante,VIA,DEI CROLLALANZA,4,5311,6,800.0,1490.0,2290.0
non alimentare,Mancante,VIA,DEI MISSAGLIA,34,5340,5,990.0,0.0,990.0
non alimentare,Mancante,VIA,DEL DUCA CINO,12,362,1,300.0,110.0,410.0
non alimentare,Mancante,VIA,DELL' ANNUNCIATA,2,140,1,913.0,197.0,1110.0
non alimentare,Mancante,VIA,DELL' ORSO,7,123,1,269.0,172.0,441.0
non alimentare,Mancante,VIA,DUPRE' GIOVANNI,14,7252,8,800.0,0.0,800.0
non alimentare,Mancante,VIA,DURINI,16,313,1,600.0,150.0,750.0
non alimentare,Mancante,VIA,DURINI,1,313,1,329.0,93.0,422.0
non alimentare,Mancante,VIA,DURINI,25,313,1,330.0,120.0,450.0
non alimentare,Mancante,VIA,FALLOPPIO GABRIELE,11,2424,3,292.0,0.0,292.0
non alimentare,Mancante,VIA,FARA GUSTAVO,39,1183,9,800.0,0.0,800.0
non alimentare,Mancante,VIA,FARINI CARLO,47,1114,9,660.0,0.0,660.0
non alimentare,Mancante,VIA,FELTRE,17,2652,3,314.0,0.0,314.0
non alimentare,Mancante,VIA,FELTRE,30,2652,3,1100.0,0.0,1100.0
non alimentare,Mancante,CSO,BUENOS AIRES,47,2129,3,500.0,0.0,500.0
non alimentare,Mancante,VIA,FERRUCCI FRANCESCO,2,7150,8,310.0,20.0,330.0
non alimentare,Mancante,VIA,FILZI FABIO,8,1190,2,800.0,150.0,950.0
non alimentare,Mancante,VIA,F.LLI BRONZETTI,16,3089,4,428.0,0.0,428.0
non alimentare,Mancante,VIA,F.LLI GABBA,1,146,1,564.0,26.0,590.0
non alimentare,Mancante,VIA,F.LLI ZOIA,71,6306,7,600.0,10.0,610.0
non alimentare,Mancante,VIA,FOLLI EGIDIO,96,2676,3,600.0,0.0,600.0
non alimentare,Mancante,VIA,FRIULI,16,3199,4,794.0,406.0,1200.0
non alimentare,Mancante,VIA,GADAMES,57,7423,8,450.0,0.0,450.0
non alimentare,Mancante,VIA,GAGGIA PIETRO,1,4187,4,280.0,20.0,300.0
non alimentare,Mancante,VIA,GALLARATE,219,7420,8,253.0,0.0,253.0
non alimentare,Mancante,VIA,GALLI MARIO,19,1304,9,287.0,71.0,358.0
non alimentare,Mancante,VIA,GATTAMELATA,41,7156,8,1330.0,0.0,1330.0
non alimentare,Mancante,CSO,SEMPIONE,51,7137,8,848.0,0.0,848.0
non alimentare,Mancante,VIA,GIOIA MELCHIORRE,62,1108,2,320.0,50.0,370.0
non alimentare,Mancante,VIA,GIOVANNI DA UDINE,3,7408,8,530.0,337.0,867.0
non alimentare,Mancante,VIA,GONIN FRANCESCO,11,5376,6,775.0,1.0,776.0
non alimentare,Mancante,VIA,GROSOTTO,7,7328,8,723.0,57.0,780.0
non alimentare,Mancante,VIA,HOEPLI ULRICO,3,190,1,778.0,0.0,778.0
non alimentare,Mancante,VIA,HOEPLI ULRICO,5,190,1,1390.0,500.0,1890.0
non alimentare,Mancante,VIA,IMPERIA,15,5266,5,315.0,550.0,865.0
non alimentare,Mancante,VIA,LARIO,11,1171,9,350.0,15.0,365.0
non alimentare,Mancante,VIA,LAZZARETTO,17,2112,2,405.0,15.0,420.0
non alimentare,Mancante,VIA,LENTASIO,1,410,1,355.0,250.0,605.0
non alimentare,Mancante,VIA,LEOPARDI GIACOMO,7,6156,1,370.0,50.0,420.0
non alimentare,Mancante,VIA,LEPONTINA,12,1147,9,380.0,10.0,390.0
non alimentare,Mancante,VIA,LESMI,7,5095,1,320.0,0.0,320.0
non alimentare,Mancante,VIA,LORENTEGGIO,27,5132,6,350.0,0.0,350.0
non alimentare,Mancante,VIA,MADERNA BRUNO,2,3382,4,500.0,0.0,500.0
non alimentare,Mancante,VIA,MARCO D'AGRATE,8,4276,5,730.0,390.0,1120.0
non alimentare,Mancante,VIA,MARIANI POMPEO,2,2490,2,1350.0,0.0,1350.0
non alimentare,Mancante,VIA,MARTINI SIMONE,3,5307,6,750.0,0.0,750.0
non alimentare,Mancante,VIA,MAZZINI GIUSEPPE,2,516,1,648.0,0.0,648.0
non alimentare,Mancante,VIA,MEDEGHINO,9,5335,5,319.0,40.0,359.0
non alimentare,Mancante,VLE,PAPINIANO,12,5097,1,523.0,0.0,523.0
non alimentare,Mancante,VIA,MONTE NAPOLEONE,11,219,1,800.0,0.0,800.0
non alimentare,Mancante,VIA,MONTE NAPOLEONE,4,219,1,891.0,560.0,1451.0
non alimentare,Mancante,VIA,MONTE SAN GABRIELE,8,2481,2,420.0,0.0,420.0
non alimentare,Mancante,VIA,MURATORI LODOVICO,13,4076,4,772.0,2052.0,2824.0
non alimentare,Mancante,VIA,MURATORI LODOVICO,27,4076,4,724.0,276.0,1000.0
non alimentare,Mancante,VIA,AOSTA,6,7227,8,450.0,0.0,450.0
non alimentare,Mancante,VIA,NERINO,12,564,1,362.0,225.0,587.0
non alimentare,Mancante,VIA,NERVESA,30,4167,4,800.0,0.0,800.0
non alimentare,Mancante,VIA,NIEVO IPPOLITO,41,6354,8,470.0,0.0,470.0
non alimentare,Mancante,VIA,NOVARA,127,6624,7,286.0,0.0,286.0
non alimentare,Mancante,VIA,OLONA,25,5090,1,261.0,0.0,261.0
non alimentare,Mancante,VIA,PACINI GIOVANNI,64,2571,3,406.0,10.0,416.0
non alimentare,Mancante,VIA,PADOVA,237,2275,2,600.0,0.0,600.0
non alimentare,Mancante,VIA,PAISIELLO GIOVANNI,1,2245,3,280.0,270.0,550.0
non alimentare,Mancante,VIA,PALAZZI LAZZARO,2,2171,3,563.0,442.0,1005.0
non alimentare,Mancante,VIA,PALIZZI FILIPPO,69,7451,8,760.0,51.0,811.0
non alimentare,Mancante,VIA,PANZERI PIETRO,10,5183,1,384.0,0.0,384.0
non alimentare,Mancante,VIA,PASSO BUOLE,4,4218,5,400.0,0.0,400.0
non alimentare,Mancante,VIA,PAULLO,11,3177,4,428.0,330.0,758.0
non alimentare,Mancante,VIA,PECCHIO GIUSEPPE,10,2240,3,800.0,0.0,800.0
non alimentare,Mancante,VIA,PELLINI EUGENIO,3,1482,2,396.0,0.0,396.0
non alimentare,Mancante,VIA,PETITTI CARLO ILARIONE,5,7161,8,270.0,100.0,370.0
non alimentare,Mancante,VIA,PETITTI CARLO ILARIONE,6,7161,8,320.0,0.0,320.0
non alimentare,Mancante,VIA,PLANA GIOVANNI ANTONIO,38,7177,8,433.0,0.0,433.0
non alimentare,Mancante,VIA,PONTACCIO,3,143,1,300.0,0.0,300.0
non alimentare,Mancante,VIA,PORTA CARLO,1,1051,1,340.0,35.0,375.0
non alimentare,Mancante,VIA,QUARENGHI GIACOMO,40,7478,8,390.0,0.0,390.0
non alimentare,Mancante,VIA,ROSSI PELLEGRINO,15,1510,9,300.0,30.0,330.0
non alimentare,Mancante,VIA,ROSSO DI SAN SECONDO,15,3009,3,570.0,75.0,645.0
non alimentare,Mancante,VIA,SAN BARNABA,27,3010,1,358.0,0.0,358.0
non alimentare,Mancante,VIA,SAN DAMIANO,4,351,1,485.0,0.0,485.0
non alimentare,Mancante,VIA,SANDRI SANDRO,2,1046,1,251.0,0.0,251.0
non alimentare,Mancante,VIA,SAN GREGORIO,1,2123,2,1250.0,285.0,1535.0
non alimentare,Mancante,VIA,SAN GREGORIO,48,2123,2,300.0,250.0,550.0
non alimentare,Mancante,VIA,SAN MARCO,26,1036,1,398.0,105.0,503.0
non alimentare,Mancante,VIA,SAN PIETRO ALL'ORTO,10,213,1,565.0,250.0,815.0
non alimentare,Mancante,VIA,SAN SIRO,31,6282,7,350.0,0.0,350.0
non alimentare,Mancante,VIA,SANTA CECILIA,4,349,1,255.0,0.0,255.0
non alimentare,Mancante,VIA,SANTA CROCE,8,5188,1,270.0,130.0,400.0
non alimentare,Mancante,VIA,SANTA MARIA VALLE,1,535,1,294.0,0.0,294.0
non alimentare,Mancante,VIA,SANTA MARIA VALLE,3,535,1,390.0,510.0,900.0
non alimentare,Mancante,VIA,SANT' ANDREA,11,222,1,277.0,23.0,300.0
non alimentare,Mancante,VIA,SANT' ANDREA,5,222,1,331.0,0.0,331.0
non alimentare,Mancante,VIA,SANT' ANDREA,10,222,1,290.0,0.0,290.0
non alimentare,Mancante,VIA,SANTO SPIRITO,19,228,1,337.0,163.0,500.0
non alimentare,Mancante,VIA,SARPI FRA' PAOLO,4,7210,8,693.0,0.0,693.0
non alimentare,Mancante,VIA,SARPI FRA' PAOLO,60,7210,8,251.0,0.0,251.0
non alimentare,Mancante,VIA,SAVONA,25,5122,6,265.0,0.0,265.0
non alimentare,Mancante,VIA,SCANINI ALESSANDRO,9,6755,7,512.0,0.0,512.0
non alimentare,Mancante,VIA,SCIESA AMATORE,21,3072,4,450.0,60.0,510.0
non alimentare,Mancante,VIA,SIRTORI GIUSEPPE,26,2180,3,1530.0,0.0,1530.0
non alimentare,Mancante,VIA,SOLFERINO,11,1028,1,347.0,0.0,347.0
non alimentare,Mancante,VIA,SOLFERINO,39,1028,1,1200.0,8.0,1208.0
non alimentare,Mancante,VIA,SOLONE,8,2346,2,500.0,0.0,500.0
non alimentare,Mancante,VIA,SORESINA GIOVANNI BATTISTA,14,6207,7,3000.0,40.0,3040.0
non alimentare,Mancante,VIA,SPALLANZANI LAZZARO,5,2153,3,878.0,305.0,1183.0
non alimentare,Mancante,VIA,SPERONARI,8,517,1,701.0,162.0,863.0
non alimentare,Mancante,VIA,STRIGELLI GAETANO,13,3214,4,270.0,0.0,270.0
non alimentare,Mancante,VIA,TAGIURA,19,6125,6,294.0,0.0,294.0
non alimentare,Mancante,VIA,TAZZOLI ENRICO,11,1118,9,376.0,0.0,376.0
non alimentare,Mancante,VIA,TEANO,6,1632,9,403.0,0.0,403.0
non alimentare,Mancante,VIA,TESSA DELIO,1,1020,1,600.0,0.0,600.0
non alimentare,Mancante,VIA,TIMAVO,32,1174,2,840.0,346.0,1186.0
non alimentare,Mancante,VIA,TOCE,11,1325,9,380.0,8.0,388.0
non alimentare,Mancante,VIA,TOLSTOI LEONE,87,5133,6,762.0,0.0,762.0
non alimentare,Mancante,VIA,TORINO,23,543,1,298.0,99.0,397.0
non alimentare,Mancante,VIA,TORINO,44,543,1,395.0,226.0,621.0
non alimentare,Mancante,VIA,TRAIANO MARCO ULPIO,79,7157,8,375.0,128.0,503.0
non alimentare,Mancante,VIA,VALSOLDA,11,5288,6,1150.0,1000.0,2150.0
non alimentare,Mancante,VIA,VALTELLINA,17,1188,9,358.0,0.0,358.0
non alimentare,Mancante,VIA,VARANINI LUIGI,28,2288,2,400.0,0.0,400.0
non alimentare,Mancante,VIA,VENINI GIULIO E CORRADO,46,2258,2,251.0,22.0,273.0
non alimentare,Mancante,VIA,VENINI GIULIO E CORRADO,87,2258,2,345.0,25.0,370.0
non alimentare,Mancante,VIA,VERRI PIETRO,8,223,1,267.0,97.0,364.0
non alimentare,Mancante,VIA,VICO GIAN BATTISTA,14,6219,1,307.0,15.0,322.0
non alimentare,Mancante,VIA,VIPACCO,36,2444,2,312.0,0.0,312.0
non alimentare,Mancante,VIA,VISCONTI DI MODRONE UBERTO,12,361,1,265.0,0.0,265.0
non alimentare,Mancante,VIA,VODICE,3,6552,7,375.0,0.0,375.0
non alimentare,Mancante,VIA,VOLTERRA,12,6260,7,540.0,110.0,650.0
non alimentare,Mancante,VIA,WITTGENS FERNANDA,5,597,1,502.0,0.0,502.0
non alimentare,Mancante,VIA,ZANELLA GIACOMO,36,3257,4,378.0,0.0,378.0
non alimentare,Mancante,VIA,ZANELLA GIACOMO,61,3257,4,1500.0,455.0,1955.0
non alimentare,Mancante,VLE,ABRUZZI,51,2177,3,292.0,0.0,292.0
non alimentare,Mancante,VLE,ABRUZZI,13,2177,3,300.0,0.0,300.0
non alimentare,Mancante,VLE,AFFORI,19,1545,9,450.0,150.0,600.0
non alimentare,Mancante,VLE,CASSALA,14,5275,6,566.0,240.0,806.0
non alimentare,Mancante,VIA,MANZOTTI LUIGI,24,1300,9,350.0,0.0,350.0
non alimentare,Mancante,VLE,CERTOSA,135,7174,8,1000.0,0.0,1000.0
non alimentare,Mancante,VLE,CERTOSA,36,7174,8,374.0,326.0,700.0
non alimentare,Mancante,VLE,CERTOSA,9,7174,8,600.0,0.0,600.0
non alimentare,Mancante,VLE,CIRENE,22,4085,4,420.0,0.0,420.0
non alimentare,Mancante,VLE,COL DI LANA,6,5198,5,470.0,0.0,470.0
non alimentare,Mancante,VLE,DI PORTA VERCELLINA,16,6213,1,388.0,0.0,388.0
non alimentare,Mancante,VLE,DORIA ANDREA,24,2230,3,322.0,0.0,322.0
non alimentare,Mancante,VLE,EGINARDO,15,6366,8,826.0,1524.0,2350.0
non alimentare,Mancante,VLE,ESPINASSE CARLO,106,7390,8,305.0,0.0,305.0
non alimentare,Mancante,VLE,FAMAGOSTA,44,5353,6,430.0,0.0,430.0
non alimentare,Mancante,VIA,BRIZI EUGENIO,4,4186,4,1350.0,0.0,1350.0
non alimentare,Mancante,VLE,GORIZIA,14,5156,6,400.0,2.0,402.0
non alimentare,Mancante,VLE,JENNER EDOARDO,29,1230,9,400.0,500.0,900.0
non alimentare,Mancante,VLE,LANCETTI VINCENZO,17,1221,9,1000.0,4600.0,5600.0
non alimentare,Mancante,VLE,LIGURIA,28,5264,6,361.0,0.0,361.0
non alimentare,Mancante,VLE,MARTINI ENRICO,9,4175,4,755.0,0.0,755.0
non alimentare,Mancante,VLE,MONTE NERO,32,3062,4,910.0,30.0,940.0
non alimentare,Mancante,VLE,MONZA,107,2274,2,868.0,0.0,868.0
non alimentare,Mancante,VLE,MONZA,113,2274,2,455.0,100.0,555.0
non alimentare,Mancante,VLE,MONZA,16,2274,2,560.0,40.0,600.0
non alimentare,Mancante,VLE,MONZA,237,2274,2,414.0,0.0,414.0
non alimentare,Mancante,VLE,MONZA,244,2274,2,470.0,0.0,470.0
non alimentare,Mancante,VLE,MONZA,289,2274,2,584.0,0.0,584.0
non alimentare,Mancante,VLE,MONZA,40,2274,2,300.0,0.0,300.0
non alimentare,Mancante,VLE,MONZA,9,2274,2,387.0,0.0,387.0
non alimentare,Mancante,VIA,PALMANOVA,65,2390,2,590.0,350.0,940.0
non alimentare,Mancante,VLE,PASUBIO,13,1112,1,300.0,0.0,300.0
non alimentare,Mancante,VLE,ROMOLO,9,5284,6,615.0,458.0,1073.0
non alimentare,Mancante,VLE,SABOTINO,4,4046,5,350.0,0.0,350.0
non alimentare,Mancante,VLE,STELVIO,3,1227,9,651.0,1849.0,2500.0
non alimentare,Mancante,VLE,STELVIO,47,1227,9,600.0,400.0,1000.0
non alimentare,Mancante,VLE,TIBALDI,3,5234,5,280.0,0.0,280.0
non alimentare,Mancante,VLE,UMBRIA,126,3145,4,490.0,0.0,490.0
non alimentare,2f climatizzazione,VIA,INGANNI ANGELO,64,6672,6,264.0,36.0,300.0
non alimentare,abbigliamento bambino,VIA,BALZARETTI GIUSEPPE,28,2197,3,268.0,0.0,268.0
non alimentare,a. bellomi,VIA,LOMELLINA,64,3280,4,400.0,500.0,900.0
non alimentare,aber crombie e fich,CSO,MATTEOTTI GIACOMO,12,218,1,1496.0,690.0,2186.0
non alimentare,ader,VIA,SANTA MARIA ALLA PORTA,1,620,1,310.0,150.0,460.0
non alimentare,a.foppapedretti l albero,VIA,MAMBRETTI ANTONIO,9,7455,8,506.0,0.0,506.0
non alimentare,aica concessionaria fiat,VIA,SISMONDI GIANCARLO,70,3256,4,400.0,0.0,400.0
non alimentare,alberto germani sportrend,CSO,VERCELLI,3,6193,7,464.0,142.0,606.0
non alimentare,alviero martini,CSO,MATTEOTTI GIACOMO,1,218,1,400.0,135.0,535.0
non alimentare,antiquario,VIA,SAN PAOLO,1,212,1,406.0,0.0,406.0
non alimentare,arc linea,PZA,MENTANA,3,560,1,257.0,0.0,257.0
non alimentare,argenteria dabbene,LGO,TREVES CLAUDIO,2,1026,1,280.0,180.0,460.0
non alimentare,arona spa-alfaromeo fiat,VIA,ARONA,15,7169,8,300.0,0.0,300.0
non alimentare,arredamenti mobili,VIA,PRINETTI LUIGI,44,2329,2,659.0,0.0,659.0
non alimentare,aspesi,VIA,MONTE NAPOLEONE,13,219,1,580.0,80.0,660.0
non alimentare,autogiolli,VIA,MEDA GIUSEPPE,27,5242,5,450.0,0.0,450.0
non alimentare,autogrill,VIA,FOSCOLO UGO,1,205,1,400.0,0.0,400.0
non alimentare,autoplanet,VIA,DEI MISSAGLIA,89,5340,5,1323.0,3969.0,5292.0
non alimentare,autoriparazioni salvioni,VIA,ARIMONDI GIUSEPPE,55,7179,8,256.0,300.0,556.0
